ア,2
イ,2
ウ,3
エ,3
オ,3
カ,2
キ,3
ク,2
ケ,3
コ,2
サ,3
シ,3
ス,2
セ,2
ソ,2
タ,3
チ,3
ツ,3
テ,3
ト,2
ナ,2
ニ,2
ヌ,2
ネ,4
ノ,1
ハ,2
ヒ,2
フ,1
ヘ,1
ホ,4
マ,2
ミ,3
ム,2
メ,2
モ,3
ヤ,2
ユ,2
ヨ,3
ラ,2
リ,2
ル,2
レ,1
ロ,3
ワ,2
ヰ,4
ヱ,3
ヲ,3
ン,2
ガ,4
ギ,5
グ,4
ゲ,5
ゴ,4
ザ,5
ジ,5
ズ,4
ゼ,4
ゾ,4
ダ,5
ヂ,5
ヅ,5
デ,5
ド,4
バ,4
ビ,4
ビ,3
ベ,3
ボ,6
パ,3
ピ,3
プ,2
ペ,2
ポ,5
ー,1
ヴ,3
・,1
